brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,ID,proc
ASUS,Vivobook,Intel,Core i5,10th,8,DDR4,256,1024,Windows,64,4,Gaming,15.6,0,No,No,55990,81990,31,4.5,23,0,39,11
HP,Pavilion,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,Yes,53990,63510,14,4.6,14,0,40,2
DELL,Vostro,AMD,Ryzen 5,Missing,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,Yes,41990,59580,29,4.3,939,107,41,5
Lenovo,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,52990,84890,37,0.0,0,0,42,3
acer,Aspire,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,38990,52999,26,0.0,0,0,43,2
realme,Book,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,46990,54999,14,4.4,6352,1014,44,2
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,35990,49990,28,4.4,130,12,45,1
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,56990,83890,32,4.5,162,15,46,5
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,2,No,Yes,51990,88990,41,4.2,85,4,47,3
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,48990,68990,28,4.4,219,27,48,5
Lenovo,IdeaPad,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,61990,97890,36,4.2,56,7,49,3
DELL,Inspiron,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,49490,66396,25,4.0,31,3,50,5
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,0,No,No,42490,50693,16,4.0,276,40,51,51
acer,Aspire,AMD,,Missing,,,0,0,Missing,32,4,Casual,0,0,No,No,54990,89000,38,4.5,3190,414,52,52
ASUS,VivoBook,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,54990,78990,30,4.5,18,3,53,53
RedmiBook,15,Intel,Core i3,11th,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,No,42990,55999,23,4.3,1063,152,54,54
Lenovo,Legion,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,4,Casual,15.6,0,No,No,68500,90890,24,4.5,271,24,55,55
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,49970,59808,16,4.5,193,28,56,56
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,Yes,49490,75390,34,4.3,365,35,57,57
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,42990,57990,25,4.3,30,4,58,58
MSI,Modern,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,0,No,No,47990,61990,22,4.6,562,89,59,59
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,48990,60959,19,4.4,45,5,60,60
ASUS,Core,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,37990,52990,28,4.3,284,39,61,61
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,Yes,37890,51990,27,4.6,44,5,62,62
RedmiBook,Pro,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.2,1708,242,63,63
HP,Pavilion,AMD,Ryzen 7,Missing,16,DDR4,256,1024,Windows,64,4,Gaming,15.6,1,No,Yes,75990,93564,18,4.5,1084,123,64,64
